ID, IAU Identifier, Catalog Coordinate  Ra, Catalog Coordinate  Dec, mag r-band  Petrosian, mag r-band  Auto, Redshift (Heliocentric), Redshift (Flow Corrected), Absolute Mag r-band  Auto, r-band Effective Radius, Surface Brightness (1R_e_AVG), Surface Brightness (1R_e), Surface Brightness (2R_e), Ellipticity  r-band, Position Angle  r-band, Stellar Mass, Colour Auto g-i, Galactic extinction  g-band, Priority Class, Bad Class
92773,J142946.78+002526.9,217.44494,0.42415,15.327,15.275,0.05428,0.05512,-21.75,3.59,20.12,21.49,23.07,0.0284,132.31,10.85,1.22,0.141,8,0
93020,J143406.70+003626.6,218.52792,0.60739,17.396,16.993,0.03161,0.03241,-18.81,2.14,20.56,21.54,23.21,0.3933,4.29,9.62,1.11,0.142,8,0
93062,J143519.72+002832.6,218.83217,0.47573,15.055,15.065,0.02955,0.03034,-20.56,3.67,19.39,20.47,22.11,0.3933,162.78,10.12,0.85,0.154,8,0
93167,J143700.09+003353.1,219.2504,0.56475,17.496,17.528,0.03476,0.03555,-18.46,5.41,21.81,22.63,24.37,0.7405,86.64,9.02,0.53,0.159,8,0
98652,J115645.75+010051.2,179.19062,1.01424,17.779,17.975,0.01977,0.02154,-16.94,3.99,21.78,22.63,24.36,0.6058,20.72,8.49,0.6,0.066,8,0
99259,J120816.48+005546.5,182.06867,0.9296,18.043,17.744,0.03556,0.03678,-18.44,6.23,22.51,23.2,25.03,0.6771,80.61,9.31,0.86,0.11,8,0
99326,J120938.60+005725.2,182.41086,0.95702,17.441,17.562,0.01953,0.02134,-17.29,4.58,22.63,23.6,25.28,0.1114,31.19,8.59,0.55,0.118,8,0
99349,J120953.86+005542.6,182.47445,0.92852,14.576,14.562,0.01976,0.02154,-20.32,9.03,20.28,21.34,22.98,0.6235,154.71001,10.16,1,0.118,8,0
99393,J121035.31+010143.5,182.64715,1.02875,15.665,15.693,0.02012,0.02185,-19.19,4.94,20.64,21.67,23.32,0.3745,169.25999,9.64,0.92,0.108,8,0
99410,J121043.65+005706.6,182.68189,0.95184,18.173,18.197,0.02166,0.0232,-16.84,5.56,22.29,23.09,24.84,0.7641,11.63,8.56,0.75,0.105,8,0
99430,J121107.93+005724.7,182.78307,0.95687,16.9,16.888,0.02081,0.02245,-18.07,3.16,20.52,21.2,23.03,0.5847,25.77,9.2,0.92,0.11,8,0
99511,J121230.83+005339.1,183.12848,0.89422,17.43,17.498,0.02112,0.02272,-17.49,5.58,22.99,24.03,25.68,0.1299,165.14,8.71,0.61,0.111,8,0
100162,J122310.34+005605.6,185.79312,0.93489,16.666,16.692,0.02577,0.02701,-18.67,2.75,20.24,20.84,22.75,0.4972,137.33,9.15,0.59,0.096,8,0
100175,J122316.41+005035.2,185.8184,0.84314,18.733,18.71,0.02642,0.02764,-16.67,6.78,22.05,23.05,24.71,0.8984,14.42,8.23,0.43,0.096,8,0
