#UGC 624 = NGC 338
#Zasov+2012
#PA=197
# inclination =  64 deg (adopted by Zasov)
# data are not corrected for inclination
#      r,"      v_Hbeta      e_V         max_Hb     e_max        sig_Hb     e_sig       v_OIII      e_v        max_OIII_1    e_max       sig_OIII    e_sig   [OIII]/Hbeta  e_oiii_hb        S/N
     25.49     5006.74    2.89E+00      392.88   -0.00E+00       36.48    1.12E+00     4999.25    5.60E+00      193.10   -0.00E+00       10.28    6.61E-01       -0.43    3.09E-02       15.28
     28.34     5005.88    2.67E+00      409.54   -0.00E+00       33.72    9.67E-01     4999.35    6.73E+00      121.35    2.27E+02       14.32    2.73E+01       -0.47    1.16E+00       17.00
     32.09     4999.10    3.44E+00      260.55   -0.00E+00       41.46    1.46E+00     4974.93    7.44E+00       45.43    1.22E+01       42.04    1.28E+01       -0.32    1.77E-01       13.75
     35.06     4975.25    3.04E+00      385.98   -0.00E+00       35.74    1.15E+00     4983.26    5.82E+00       81.68    2.91E+01       31.31    1.21E+01       -0.30    2.28E-01       13.16
     37.16     4972.06    2.47E+00      585.67   -0.00E+00       34.85    9.24E-01     4979.45    4.08E+00      274.08    3.28E+02       13.74    1.67E+01       -0.30    7.42E-01       19.63
     38.78     4978.22    2.45E+00      677.62   -0.00E+00       34.44    9.03E-01     4983.56    3.95E+00      424.04    4.42E+02       11.64    1.29E+01       -0.24    6.60E-01       20.95
     40.02     4988.29    2.28E+00      861.91   -0.00E+00       35.40    8.71E-01     4987.75    2.83E+00      713.92   -0.00E+00       11.16    3.58E-01       -0.15    1.75E-02       19.89
     41.07     4990.40    1.68E+00     1317.96   -0.00E+00       32.73    6.12E-01     4990.65    2.00E+00      912.17   -0.00E+00       12.40    2.82E-01       -0.15    1.28E-02       26.03
     41.95     4989.92    1.87E+00     1484.24   -0.00E+00       33.79    6.98E-01     4990.00    2.29E+00      995.13   -0.00E+00       12.50    3.25E-01       -0.17    1.44E-02       21.62
     42.66     4990.20    1.99E+00     1409.47   -0.00E+00       33.65    7.39E-01     4991.87    2.47E+00      902.05   -0.00E+00       12.55    3.50E-01       -0.19    1.54E-02       19.41
     43.52     4985.11    1.70E+00     1343.22   -0.00E+00       32.40    6.16E-01     4992.01    2.22E+00      847.95   -0.00E+00       11.64    2.94E-01       -0.21    1.37E-02       17.78
     44.65     4987.50    1.85E+00     1188.01   -0.00E+00       32.40    6.62E-01     4985.54    2.70E+00      712.87   -0.00E+00       11.62    3.53E-01       -0.23    1.59E-02       20.62
     45.67     4985.70    2.14E+00      925.32   -0.00E+00       35.88    8.21E-01     4982.17    2.90E+00      580.78   -0.00E+00       12.45    4.01E-01       -0.23    1.72E-02       18.77
     46.89     4988.51    2.25E+00      735.40   -0.00E+00       34.78    8.42E-01     4989.97    3.10E+00      483.15   -0.00E+00       11.71    4.02E-01       -0.22    1.82E-02       15.52
     48.70     4997.02    2.92E+00      413.42   -0.00E+00       36.52    1.11E+00     4996.78    5.02E+00      106.28    4.41E+01       26.77    1.18E+01       -0.29    2.63E-01       16.51
     51.52     4990.23    4.77E+00      189.18   -0.00E+00       33.85    1.67E+00     4994.49    5.98E+00      131.55   -0.00E+00       10.81    7.24E-01       -0.22    3.61E-02        9.00
     56.68     4991.15    8.59E+00       65.87   -0.00E+00       34.30    2.96E+00     5006.12    1.24E+01       26.21    5.12E+01       19.14    3.87E+01       -0.22    1.22E+00        5.69
     67.27     5023.58    5.57E+01        7.22    1.61E+00      219.86    5.83E+01     4975.44    1.17E+01       38.67   -0.00E+00       10.24    1.26E+00       -0.17    1.60E-01        1.32
