NGC 949     3.02 18.48
NGC 949     3.11 18.50
NGC 949     3.20 18.51
NGC 949     3.30 18.52
NGC 949     3.40 18.54
NGC 949     3.50 18.55
NGC 949     3.60 18.57
NGC 949     3.72 18.58
NGC 949     3.83 18.59
NGC 949     3.94 18.61
NGC 949     4.06 18.62
NGC 949     4.18 18.64
NGC 949     4.31 18.65
NGC 949     4.44 18.67
NGC 949     4.57 18.68
NGC 949     4.71 18.70
NGC 949     4.85 18.71
NGC 949     4.99 18.73
NGC 949     5.14 18.74
NGC 949     5.30 18.76
NGC 949     5.46 18.77
NGC 949     5.62 18.78
NGC 949     5.79 18.80
NGC 949     5.96 18.81
NGC 949     6.14 18.83
NGC 949     6.32 18.84
NGC 949     6.51 18.86
NGC 949     6.71 18.87
NGC 949     6.91 18.88
NGC 949     7.12 18.90
NGC 949     7.33 18.91
NGC 949     7.55 18.92
NGC 949     7.78 18.94
NGC 949     8.01 18.95
NGC 949     8.25 18.97
NGC 949     8.50 18.98
NGC 949     8.76 19.00
NGC 949     9.02 19.02
NGC 949     9.29 19.04
NGC 949     9.56 19.05
NGC 949     9.85 19.07
NGC 949    10.15 19.09
NGC 949    10.45 19.11
NGC 949    10.77 19.13
NGC 949    11.09 19.15
NGC 949    11.42 19.17
NGC 949    11.76 19.19
NGC 949    12.12 19.21
NGC 949    12.48 19.24
NGC 949    12.86 19.26
NGC 949    13.24 19.29
NGC 949    13.64 19.32
NGC 949    14.05 19.36
NGC 949    14.47 19.41
NGC 949    14.90 19.45
NGC 949    15.35 19.49
NGC 949    15.81 19.53
NGC 949    16.28 19.56
NGC 949    16.77 19.60
NGC 949    17.28 19.64
NGC 949    17.79 19.68
NGC 949    18.33 19.72
NGC 949    18.88 19.78
NGC 949    19.45 19.86
NGC 949    20.03 19.94
NGC 949    20.63 20.01
NGC 949    21.25 20.09
NGC 949    21.89 20.18
NGC 949    22.54 20.25
NGC 949    23.22 20.34
NGC 949    23.92 20.41
NGC 949    24.63 20.50
NGC 949    25.37 20.59
NGC 949    26.13 20.68
NGC 949    26.92 20.77
NGC 949    27.72 20.85
NGC 949    28.56 20.91
NGC 949    29.41 20.97
NGC 949    30.30 21.03
NGC 949    31.21 21.09
NGC 949    32.14 21.15
NGC 949    33.10 21.22
NGC 949    34.10 21.29
NGC 949    35.12 21.37
NGC 949    36.17 21.44
NGC 949    37.26 21.50
NGC 949    38.38 21.56
NGC 949    39.53 21.63
NGC 949    40.72 21.71
NGC 949    41.94 21.77
NGC 949    43.19 21.84
NGC 949    44.49 21.90
NGC 949    45.83 21.97
NGC 949    47.20 22.02
NGC 949    48.62 22.07
NGC 949    50.07 22.12
NGC 949    51.58 22.17
NGC 949    53.12 22.23
NGC 949    54.72 22.27
NGC 949    56.36 22.33
NGC 949    58.05 22.39
NGC 949    59.79 22.44
NGC 949    61.58 22.51
NGC 949    63.43 22.57
NGC 949    65.34 22.64
NGC 949    67.30 22.71
NGC 949    69.31 22.77
NGC 949    71.40 22.86
NGC 949    73.54 22.94
NGC 949    75.74 23.01
NGC 949    78.02 23.10
NGC 949    80.35 23.18
NGC 949    82.77 23.28
NGC 949    85.25 23.36
NGC 949    87.80 23.46
NGC 949    90.44 23.56
NGC 949    93.16 23.65
NGC 949    95.95 23.74
NGC 949    98.82 23.84
NGC 949   101.79 23.95
NGC 949   104.84 24.05
NGC 949   107.99 24.16
NGC 949   111.23 24.25
NGC 949   114.57 24.38
NGC 949   118.01 24.47
NGC 949   121.55 24.56
NGC 949   125.19 24.69
NGC 949   128.94 24.75
NGC 949   132.81 24.89
NGC 949   136.80 24.94
NGC 949   140.90 25.01
NGC 949   145.13 25.14
NGC 949   149.48 25.22
NGC 949   153.97 25.28
NGC 949   158.59 25.37
NGC 949   163.35 25.47
NGC 949   168.24 25.50
NGC 949   173.29 25.54
NGC 949   178.49 25.57
NGC 949   183.84 25.67
NGC 949   189.36 25.76
NGC 949   195.04 25.76
NGC 949   200.89 25.83
NGC 949   206.92 25.83
NGC 949   213.13 25.91
NGC 949   219.52 25.96
NGC 949   226.11 25.96
NGC 949   232.89 26.12
NGC 949   239.88 26.22
NGC 949   247.07 26.31
NGC 949   254.48 26.36
NGC 972     1.01 17.56
NGC 972     1.04 17.56
NGC 972     1.07 17.58
NGC 972     1.10 17.59
NGC 972     1.14 17.60
NGC 972     1.17 17.61
NGC 972     1.20 17.62
NGC 972     1.24 17.64
NGC 972     1.28 17.65
NGC 972     1.32 17.67
NGC 972     1.36 17.68
NGC 972     1.40 17.70
NGC 972     1.44 17.72
NGC 972     1.48 17.74
NGC 972     1.52 17.76
NGC 972     1.57 17.78
NGC 972     1.62 17.81
NGC 972     1.67 17.83
NGC 972     1.72 17.85
NGC 972     1.77 17.88
NGC 972     1.82 17.90
NGC 972     1.88 17.93
NGC 972     1.93 17.96
NGC 972     1.99 17.99
NGC 972     2.05 18.01
NGC 972     2.11 18.04
NGC 972     2.17 18.07
NGC 972     2.24 18.10
NGC 972     2.31 18.13
NGC 972     2.38 18.16
NGC 972     2.45 18.19
NGC 972     2.52 18.22
NGC 972     2.60 18.25
NGC 972     2.68 18.29
NGC 972     2.76 18.32
NGC 972     2.84 18.35
NGC 972     2.92 18.39
NGC 972     3.01 18.42
NGC 972     3.10 18.46
NGC 972     3.19 18.49
NGC 972     3.29 18.53
NGC 972     3.39 18.57
NGC 972     3.49 18.61
NGC 972     3.59 18.65
NGC 972     3.70 18.69
NGC 972     3.81 18.73
NGC 972     3.93 18.76
NGC 972     4.05 18.79
NGC 972     4.17 18.82
NGC 972     4.29 18.84
NGC 972     4.42 18.87
NGC 972     4.55 18.89
NGC 972     4.69 18.91
NGC 972     4.83 18.93
NGC 972     4.98 18.96
NGC 972     5.12 18.98
NGC 972     5.28 19.00
NGC 972     5.44 19.02
NGC 972     5.60 19.03
NGC 972     5.77 19.05
NGC 972     5.94 19.06
NGC 972     6.12 19.07
NGC 972     6.30 19.08
NGC 972     6.49 19.09
NGC 972     6.69 19.10
NGC 972     6.89 19.10
NGC 972     7.10 19.10
NGC 972     7.31 19.09
NGC 972     7.53 19.10
NGC 972     7.76 19.10
NGC 972     7.99 19.11
NGC 972     8.23 19.12
NGC 972     8.47 19.14
NGC 972     8.73 19.16
NGC 972     8.99 19.17
NGC 972     9.26 19.19
NGC 972     9.54 19.20
NGC 972     9.82 19.21
NGC 972    10.12 19.23
NGC 972    10.42 19.25
NGC 972    10.73 19.28
NGC 972    11.06 19.31
NGC 972    11.39 19.33
NGC 972    11.73 19.34
NGC 972    12.08 19.36
NGC 972    12.44 19.38
NGC 972    12.81 19.45
NGC 972    13.20 19.49
NGC 972    13.60 19.52
NGC 972    14.00 19.55
NGC 972    14.42 19.59
NGC 972    14.86 19.65
NGC 972    15.30 19.71
NGC 972    15.76 19.75
NGC 972    16.23 19.82
NGC 972    16.72 19.89
NGC 972    17.22 19.95
NGC 972    17.74 20.01
NGC 972    18.27 20.06
NGC 972    18.82 20.11
NGC 972    19.38 20.16
NGC 972    19.97 20.20
NGC 972    20.57 20.24
NGC 972    21.18 20.28
NGC 972    21.82 20.33
NGC 972    22.47 20.39
NGC 972    23.15 20.44
NGC 972    23.84 20.50
NGC 972    24.56 20.54
NGC 972    25.29 20.60
NGC 972    26.05 20.66
NGC 972    26.83 20.73
NGC 972    27.64 20.76
NGC 972    28.47 20.79
NGC 972    29.32 20.85
NGC 972    30.20 20.92
NGC 972    31.11 20.94
NGC 972    32.04 21.00
NGC 972    33.00 21.06
NGC 972    33.99 21.11
NGC 972    35.01 21.14
NGC 972    36.06 21.16
NGC 972    37.14 21.21
NGC 972    38.26 21.24
NGC 972    39.41 21.30
NGC 972    40.59 21.36
NGC 972    41.80 21.43
NGC 972    43.06 21.48
NGC 972    44.35 21.54
NGC 972    45.68 21.61
NGC 972    47.05 21.68
NGC 972    48.46 21.75
NGC 972    49.92 21.83
NGC 972    51.41 21.92
NGC 972    52.96 22.01
NGC 972    54.54 22.09
NGC 972    56.18 22.16
NGC 972    57.87 22.24
NGC 972    59.60 22.31
NGC 972    61.39 22.39
NGC 972    63.23 22.47
NGC 972    65.13 22.53
NGC 972    67.08 22.62
NGC 972    69.10 22.68
NGC 972    71.17 22.76
NGC 972    73.30 22.86
NGC 972    75.50 23.01
NGC 972    77.77 23.12
NGC 972    80.10 23.25
NGC 972    82.50 23.36
NGC 972    84.98 23.41
NGC 972    87.53 23.54
NGC 972    90.15 23.62
NGC 972    92.86 23.75
NGC 972    95.64 23.84
NGC 972    98.51 23.96
